state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime
15,2,0,2,15,7,1,5,1,7,7,0,20,0,7,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,8,1,21,3,8,15,1,0,1,15
15,2,0,1,15,7,1,1,1,7,7,0,23,1,7,15,2,0,1,15,15,2,0,1,15,15,3,0,1,15,8,3,16,1,12,15,1,0,1,15
15,1,0,1,15,7,1,1,1,7,7,1,25,1,7,15,1,0,1,15,15,1,0,1,15,15,1,0,1,15,12,1,44,1,12,15,1,0,1,15
15,1,32,0,15,7,1,2,0,7,7,1,4,0,7,15,1,0,0,15,15,1,0,0,15,15,1,0,0,15,12,1,10,0,12,15,1,0,0,15
15,0,0,2,15,7,0,4,1,15,7,0,4,1,7,15,0,0,2,15,15,0,0,3,15,15,0,0,3,15,12,0,12,2,12,15,0,0,1,15
15,2,0,2,15,15,1,0,1,15,7,1,17,1,7,15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,12,2,26,2,14,15,1,0,1,15
15,2,56,0,31,15,1,0,1,15,7,1,2,1,7,15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,14,2,5,2,12,15,1,0,1,15
31,0,56,0,31,15,1,0,0,15,7,1,0,0,3,15,2,0,0,15,15,3,0,0,15,15,3,12,0,14,12,2,0,0,12,15,1,0,0,15
31,0,48,2,31,15,0,0,1,15,3,0,12,2,3,15,0,0,3,15,15,0,0,3,15,14,0,15,1,14,12,0,16,2,8,15,0,0,1,15
31,2,56,1,63,15,1,48,0,47,3,2,42,0,3,15,3,0,3,15,15,3,0,3,15,14,1,9,1,15,8,2,42,2,12,15,1,56,2,63
63,1,56,3,31,47,0,56,3,47,3,0,10,3,3,15,3,13,3,7,15,3,0,3,15,15,1,0,3,15,12,2,9,3,8,63,2,48,3,47
31,3,48,1,31,47,3,56,2,47,3,3,26,1,7,7,3,9,2,15,15,3,0,3,15,15,3,0,3,15,8,3,21,2,8,47,3,56,0,47
31,1,0,3,15,47,2,48,2,47,7,1,18,2,3,15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,8,2,57,2,8,47,0,0,3,15
15,3,0,3,15,47,2,0,0,15,3,2,8,2,3,15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,8,2,12,0,8,15,3,0,3,15
15,3,0,3,15,15,0,0,0,15,3,2,2,1,7,15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,8,0,12,3,9,15,3,0,3,15
15,3,0,3,15,15,0,0,0,15,7,1,0,1,7,15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,9,3,34,3,9,15,3,0,3,15
15,3,0,3,15,15,0,0,0,15,7,1,1,1,7,15,2,0,2,15,15,3,0,3,15,15,3,0,3,15,9,3,52,3,9,15,3,0,3,15
15,3,0,2,15,15,0,31,2,11,7,1,0,2,3,15,2,0,2,15,15,3,23,2,7,15,3,0,2,15,9,3,77,2,9,15,3,0,2,15
15,2,0,3,15,11,2,36,3,9,3,2,2,3,3,15,2,0,3,15,7,2,23,3,7,15,2,0,3,15,9,2,44,3,9,15,2,0,3,15
15,3,0,3,15,9,3,12,3,9,3,3,22,2,3,15,3,0,2,15,7,3,19,1,7,15,3,0,1,15,9,3,22,1,9,15,3,0,3,15
15,3,7,3,7,9,3,68,3,11,3,2,44,3,3,15,2,0,3,15,7,1,50,3,1,15,1,0,3,15,9,1,32,3,11,15,3,0,3,15
7,3,27,2,7,11,3,14,0,15,3,3,16,0,3,15,3,8,0,14,1,3,48,3,0,15,3,0,1,15,11,3,0,3,15,15,3,0,3,15
7,2,25,2,7,15,0,0,0,15,3,0,32,0,3,14,0,14,0,14,0,3,108,3,0,15,1,0,1,15,15,3,0,3,15,15,3,0,3,15
7,2,2,1,14,15,0,0,0,15,3,0,62,1,3,14,0,18,0,14,0,3,116,0,0,15,1,1,2,7,15,3,0,3,15,15,3,0,3,15
14,1,4,1,14,15,0,18,0,11,3,1,31,1,7,14,0,23,2,62,0,0,68,0,0,7,2,2,1,15,15,3,0,3,15,15,3,0,3,15
14,1,0,3,15,11,0,40,0,11,7,1,7,0,3,62,2,31,2,62,0,0,68,1,0,15,1,3,1,14,15,3,0,3,15,15,3,0,3,15
15,3,0,0,15,11,0,82,0,1,3,0,8,0,3,62,2,55,0,62,0,1,108,0,0,14,1,1,0,7,15,3,0,0,15,15,3,0,0,15
15,0,0,3,15,1,0,54,1,9,3,0,42,0,3,62,0,54,1,62,0,0,36,1,0,7,0,1,1,15,15,0,4,2,7,15,0,0,3,15
15,3,0,3,15,9,1,60,0,1,3,0,60,0,3,62,1,37,1,62,0,1,84,1,0,15,1,0,3,15,7,2,4,1,15,15,3,0,3,15
15,3,0,0,15,1,0,33,0,8,3,0,60,0,3,62,1,33,0,14,0,1,12,0,0,15,3,0,0,15,15,1,0,0,15,15,3,0,0,15
15,0,21,0,14,8,0,75,1,8,3,0,54,0,3,14,0,1,3,62,0,0,16,1,0,15,0,0,1,15,15,0,0,3,15,15,0,7,2,7
14,0,7,1,15,8,1,66,1,8,3,0,60,1,3,62,3,33,1,62,0,1,68,1,0,15,1,0,1,15,15,3,0,1,15,7,2,0,1,15
