state,action,reward,sprime,aprime
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,24,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,48,3,31
31,3,8,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,22,1,7
7,1,17,1,7
7,1,10,0,7
7,0,2,0,7
7,0,25,0,7
7,0,29,0,7
7,0,30,0,7
7,0,26,0,7
7,0,30,0,7
7,0,31,0,7
7,0,26,0,7
7,0,31,0,7
7,0,30,3,7
7,3,6,1,55
55,1,45,0,7
7,0,3,0,7
7,0,16,0,55
55,0,33,0,55
55,0,46,3,55
55,3,38,3,55
55,3,35,0,7
7,0,15,0,7
7,0,19,0,7
7,0,20,0,55
55,0,33,2,55
